"vehicle_id","brand","model","year","fuel_type","engine_cc","mileage_kmpl","price_lakh","transmission","vehicle_type","country"
1,"Toyota","Fortuner",2022,"Diesel",2755,10.50,35.00,"Automatic","SUV","India"
2,"Hyundai","i20",2021,"Petrol",1197,20.00,8.50,"Manual","Hatchback","India"
3,"Honda","City",2020,"Petrol",1498,18.40,12.00,"Automatic","Sedan","India"
4,"Tesla","Model 3",2023,"Electric",0,0.00,60.00,"Automatic","Sedan","USA"
5,"Ford","EcoSport",2019,"Diesel",1498,22.50,9.00,"Manual","SUV","India"
6,"BMW","X5",2022,"Petrol",2998,12.00,75.00,"Automatic","SUV","Germany"
7,"Maruti","Swift",2021,"Petrol",1197,23.00,6.50,"Manual","Hatchback","India"
8,"Audi","A6",2023,"Petrol",1984,14.00,65.00,"Automatic","Sedan","Germany"
9,"Kia","Seltos",2022,"Diesel",1493,19.00,15.00,"Manual","SUV","India"
10,"Mahindra","Thar",2023,"Diesel",2184,15.20,14.00,"Manual","SUV","India"
11,"Hyundai","Creta",2022,"Petrol",1497,17.00,13.50,"Automatic","SUV","India"
12,"Toyota","Glanza",2021,"Petrol",1197,22.30,7.50,"Manual","Hatchback","India"
13,"Honda","Amaze",2020,"Diesel",1498,24.70,8.00,"Manual","Sedan","India"
15,"Unknown","Y",2021,NULL,1200,NULL,10.00,"Manual","Sedan","India"
14,"FakeBrand","X",2022,"Petrol",1500,NULL,NULL,"Manual","SUV","India"
